word,synset_1,synset_2,synset_3,synset_4,synset_5,synset_6,synset_7,synset_8,synset_9,synset_10,synset_11,synset_12,synset_13,synset_14,synset_15,synset_16,synset_17,synset_18,synset_19,synset_20,synset_21,synset_22,synset_23,synset_24,synset_25,synset_26,synset_27,synset_28,synset_29,synset_30,synset_31,synset_32,synset_33,synset_34,synset_35,synset_36,synset_37,synset_38,synset_39,synset_40,synset_41,synset_42,synset_43,synset_44,synset_45,synset_46,synset_47,synset_48,synset_49,synset_50,synset_51,synset_52,synset_53,synset_54,synset_55,synset_56,synset_57,synset_58,synset_59,synset_60,synset_61,synset_62,synset_63,synset_64,synset_65,synset_66,synset_67,synset_68,synset_69,synset_70,synset_71,synset_72,synset_73,synset_74,synset_75,synset_76,synset_77,synset_78,synset_79,synset_80,synset_81,synset_82,synset_83,synset_84,synset_85,synset_86,synset_87,synset_88,synset_89,synset_90,synset_91,synset_92,synset_93,synset_94,is_saved
cymryd,cipio,dwyn,derbyn,bachu,mynd â,cael,meddiannu,cymryd yn ganiataol,gafael,cwyd,mynd,dilyn,casglu,cymryd amser,benthyg,pocedu,tybio,cymryd anadl,dal,cymryd at galon,torri,dychwelyd,mynd a,perchnogi,meddu,perchenogi,ffilmio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
cynilo,arbed,safio,cadw,casglu,rheoli,diogelu,achub,rhoi i gadw,darbodus,cyfoeth,crintachu,gwared,rhoi wrth gefn,storio,cynnal,cynilo,hepgor,gofalu,gofalu am arian,gwarchod,arbed arian,cadw arian,blaendal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
cynnal,cadw,arofalu,amddiffyn,haeru,cefnogi,dal,ategu,gofalu,cadarnhau,gofalu am,rheoli,meithrin,trwsio,atgyfnerthu,gwarchod,cyfnerthu,parhad,parhau,magu,achub,gwrachod,honni,atgyweirio,diogelu,maethu,ennyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
cynnar,buan,boreol,bore,cynamserol,ffres,cyn pryd,plygeiniol,cychwynnol,fuan,sydyn,diweddar,mewn amser da,annhymig,newydd,crai,gwely cynnar,cyntaf,anamserol,irion,cinio cynnar,cyntefig,mewn da bryd,swper cynnar,amserol,cyn yr amser penodedig,parod,cynt,blaenorol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
cyntaf,prif,ar y blaen,arweiniol,sylfaenol,pennaf,dechreuol,blaen,agoriadol,cychwynnol,dechrau,gwreiddiol,y tro cyntaf,cychwynol,blaenaf,ei benblwydd cyntaf,arwain,cyflymaf,ei siwrna cyntaf,curo,unfed,y cyntaf o ebrill,cyntefig,cynnar,enillydd,byw ar y llawr cyntaf,cynharaf,agroiadol,hynaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
cyrraedd,dod,glanio,ymddangos,dyfod,cyrraedd adref,arddangos,cyrraedd y gweithle,troi fyny,dŵad,cyrraedd y dref,ymestyn,agosau,agosáu,ymweld,ymweld â,cyrraedd yr orsaf,cofrestru,mynediad,mynychu,nesáu,pigo draw,cyrraedd y pentref,croeso,lleoliad,llwyddo,ymrithio,digwyddiad,estyn,gallu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
cysylltu,ymuno,uno,clymu,cyfuno,cydio,cydgysylltu,cyfrannu,ymaelodi,asio,cydweithredu,uniadu,cyfarfod,cyplysu,cyplu,cyraedd,cyduno,cyfannu,dilyn,cyswllt,gwneud yn un,cyfranogi,uniad,perthynas,pontio,cydosod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
da,buddiol,lles,gwych,addas,rhyfeddol,gweddus,daioni,ardderchog,llesol,dibechod,teg,safonol,arbennig,iawn,cyfiawn,positif,derbyniol,budd,canmoladwy,daionus,conmoladwy,ffafriol,ffodus,cyfreithlon,bendigedig,rhagorol,pleserus,caredig,ffantastig,boddhaol,aruthrol,campus,penigamp,cymeradwy,gwerthfawr,digonol,rhinweddol,gwartheg,buchod,gyr,teirw,anifeiliaid,stoc,lloi,ychen,buwch,ych,buches,llo,eiddo,gyrroedd,lloeau,eidion,bwrw llo,bystych,da byw,cyfoeth,fferm,meddiant,heffer,tarw,bustach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dal,gafael,cydio,bachu,maglu,goddef,dalfa,hel,ymateb synhwyrol,cymryd,cadw,cipio,helfa,crafangu,corlannu,glynu,arestio,dala,gwasgu,trapio,ymaflyd,dal annwyd,cynnal,mynd a,anhawster,clicied,dal bws,daliwr,goddiweddyd,dilyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
dangos,arddangos,amlygu,datguddio,cyflwyno,cyfleu,mynegi,datgelu,adlewyrchu,dysgu,dadlennu,dadorchuddio,dangosiad,esbonio,egluro,perfformio,cynrychioli,sefydlu,hysbysu,arwain,gwneud yn hysbys,gwneud yn amlwg,sioe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
